-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 01/31/2021 
Location: Latitude  39.9541   Longitude -75.1823 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2021,1,1,0.08,20.11,102.18
2021,1,2,4.02,1.34,100.84
2021,1,3,1.58,7.44,101.01
2021,1,4,2.33,0.52,100.96
2021,1,5,0.99,0.18,100.8
2021,1,6,0.81,0.0,101.19
2021,1,7,-0.61,0.0,101.47
2021,1,8,-1.36,0.0,101.05
2021,1,9,-1.13,0.0,100.82
2021,1,10,-0.32,0.0,101.78
2021,1,11,-1.12,0.0,101.95
2021,1,12,0.27,0.0,101.51
2021,1,13,0.69,0.0,101.12
2021,1,14,3.07,0.0,100.51
2021,1,15,4.32,5.36,100.55
2021,1,16,4.41,4.07,99.4
2021,1,17,1.95,0.07,100.05
2021,1,18,1.49,0.0,100.45
2021,1,19,0.3,0.0,101.37
2021,1,20,-0.31,0.04,101.0
2021,1,21,-0.27,0.0,100.3
2021,1,22,1.44,0.0,100.3
2021,1,23,-2.71,0.0,101.44
2021,1,24,-2.88,0.0,101.76
2021,1,25,-1.77,0.06,101.45
2021,1,26,-0.17,3.19,100.73
2021,1,27,0.25,0.05,101.13
2021,1,28,-3.09,0.0,101.45
2021,1,29,-6.31,0.44,101.7
2021,1,30,-5.16,0.03,102.09
2021,1,31,-3.65,7.3,101.77
